index	genome	identifier	file	clip	scale	sum_stat	description
0	1	ENCFF323ZYI	/home/suncz/work/s02/Encode_epigenome/data/ENCFF323ZYI.bigWig	32	2	mean	ChIP-seq:H3K27ac:esophagus muscularis mucosa
1	1	ENCFF631KUG	/home/suncz/work/s02/Encode_epigenome/data/ENCFF631KUG.bigWig	32	2	mean	ATAC-seq::DND-41
2	1	ENCFF539NFV	/home/suncz/work/s02/Encode_epigenome/data/ENCFF539NFV.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
3	1	ENCFF820NWA	/home/suncz/work/s02/Encode_epigenome/data/ENCFF820NWA.bigWig	32	2	mean	ATAC-seq::HG03135
4	1	ENCFF111KQE	/home/suncz/work/s02/Encode_epigenome/data/ENCFF111KQE.bigWig	32	2	mean	ATAC-seq::GM21390
5	1	ENCFF359TWX	/home/suncz/work/s02/Encode_epigenome/data/ENCFF359TWX.bigWig	32	2	mean	ATAC-seq::GM19023
6	1	ENCFF434ISA	/home/suncz/work/s02/Encode_epigenome/data/ENCFF434ISA.bigWig	32	2	mean	ATAC-seq::GM21423
7	1	ENCFF427FGG	/home/suncz/work/s02/Encode_epigenome/data/ENCFF427FGG.bigWig	32	2	mean	DNase-seq::dorsolateral prefrontal cortex
8	1	ENCFF511RSO	/home/suncz/work/s02/Encode_epigenome/data/ENCFF511RSO.bigWig	32	2	mean	ATAC-seq::GM19438
9	1	ENCFF648MKI	/home/suncz/work/s02/Encode_epigenome/data/ENCFF648MKI.bigWig	32	2	mean	ATAC-seq::HG03469
10	1	ENCFF487QRP	/home/suncz/work/s02/Encode_epigenome/data/ENCFF487QRP.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
11	1	ENCFF299AQW	/home/suncz/work/s02/Encode_epigenome/data/ENCFF299AQW.bigWig	32	2	mean	ATAC-seq::GM18907
12	1	ENCFF839AZL	/home/suncz/work/s02/Encode_epigenome/data/ENCFF839AZL.bigWig	32	2	mean	ATAC-seq::GM21717
13	1	ENCFF826BYJ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF826BYJ.bigWig	32	2	mean	ATAC-seq::HG02571
14	1	ENCFF308ARF	/home/suncz/work/s02/Encode_epigenome/data/ENCFF308ARF.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
15	1	ENCFF803KNZ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF803KNZ.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
16	1	ENCFF097XXJ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF097XXJ.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
17	1	ENCFF624NAF	/home/suncz/work/s02/Encode_epigenome/data/ENCFF624NAF.bigWig	32	2	mean	ChIP-seq:H3K27me3:dorsolateral prefrontal cortex
18	1	ENCFF157FAL	/home/suncz/work/s02/Encode_epigenome/data/ENCFF157FAL.bigWig	32	2	mean	ChIP-seq:H3K4me3:dorsolateral prefrontal cortex
19	1	ENCFF011GZX	/home/suncz/work/s02/Encode_epigenome/data/ENCFF011GZX.bigWig	32	2	mean	ChIP-seq:H3K27me3:dorsolateral prefrontal cortex
